SIT_MATRICULA,RENDA_FAMILIAR,TIPO_ESCOLA_ORIGEM,ANO_CONCLUSAO_2_GRAU,RENDA_PER_CAPITA,COD_ESTADO_CIVIL,N_FILHOS,SEXO,INGLES_FALA,INGLES_COMPREENSAO,INGLES_ESCRITA,INGLES_LEITURA,NOTA,N_FALTAS,ANO_INGRESSSO,IDADE_INGRESSO,APROVADO
9,1.0,0.0,2007.0,7.0,S,0.0,M,3.0,3.0,3.0,3.0,0.3,22.0,2011,23.0,0.0
0,1.0,1.0,2009.0,7.0,S,0.0,M,2.0,2.0,2.0,2.0,7.4,0.0,2011,19.0,1.0
0,1.0,1.0,2009.0,7.0,S,0.0,M,2.0,2.0,2.0,2.0,4.5,14.0,2011,19.0,0.0
0,1.0,1.0,2009.0,7.0,S,0.0,M,2.0,2.0,2.0,2.0,6.0,0.0,2011,19.0,1.0
0,1.0,1.0,2009.0,7.0,S,0.0,M,2.0,2.0,2.0,2.0,6.7,6.0,2011,19.0,1.0
0,1.0,1.0,2009.0,7.0,S,0.0,M,2.0,2.0,2.0,2.0,4.5,20.0,2011,19.0,0.0
0,1.0,1.0,2009.0,7.0,S,0.0,M,2.0,2.0,2.0,2.0,6.7,6.0,2011,19.0,1.0
0,1.0,1.0,2009.0,7.0,S,0.0,M,2.0,2.0,2.0,2.0,6.0,0.0,2011,19.0,1.0
0,1.0,1.0,2009.0,7.0,S,0.0,M,2.0,2.0,2.0,2.0,6.4,12.0,2011,19.0,1.0
0,1.0,1.0,2009.0,7.0,S,0.0,M,2.0,2.0,2.0,2.0,4.6,12.0,2011,19.0,0.0
0,1.0,1.0,2009.0,7.0,S,0.0,M,2.0,2.0,2.0,2.0,6.0,0.0,2011,19.0,1.0
0,1.0,1.0,2009.0,7.0,S,0.0,M,2.0,2.0,2.0,2.0,5.2,2.0,2011,19.0,0.0
0,1.0,1.0,2009.0,7.0,S,0.0,M,2.0,2.0,2.0,2.0,6.0,8.0,2011,19.0,1.0
0,1.0,1.0,2009.0,7.0,S,0.0,M,2.0,2.0,2.0,2.0,8.5,2.0,2011,19.0,1.0
0,1.0,1.0,2009.0,7.0,S,0.0,M,2.0,2.0,2.0,2.0,2.3,17.0,2011,19.0,0.0
0,1.0,1.0,2009.0,7.0,S,0.0,M,2.0,2.0,2.0,2.0,8.0,0.0,2011,19.0,1.0
0,1.0,1.0,2009.0,7.0,S,0.0,M,2.0,2.0,2.0,2.0,0.0,0.0,2011,19.0,0.0
0,1.0,1.0,2009.0,7.0,S,0.0,M,2.0,2.0,2.0,2.0,0.0,0.0,2011,19.0,0.0
0,1.0,1.0,2009.0,7.0,S,0.0,M,2.0,2.0,2.0,2.0,4.4,20.0,2011,19.0,0.0
0,1.0,1.0,2009.0,7.0,S,0.0,M,2.0,2.0,2.0,2.0,6.0,0.0,2011,19.0,1.0
0,1.0,1.0,2009.0,7.0,S,0.0,M,2.0,2.0,2.0,2.0,2.3,6.0,2011,19.0,0.0
0,1.0,1.0,2009.0,7.0,S,0.0,M,2.0,2.0,2.0,2.0,6.0,8.0,2011,19.0,1.0
0,1.0,1.0,2009.0,7.0,S,0.0,M,2.0,2.0,2.0,2.0,0.0,0.0,2011,19.0,0.0
0,1.0,1.0,2009.0,7.0,S,0.0,M,2.0,2.0,2.0,2.0,0.0,0.0,2011,19.0,0.0
0,1.0,1.0,2009.0,7.0,S,0.0,M,2.0,2.0,2.0,2.0,0.0,46.0,2011,19.0,0.0
0,1.0,1.0,2009.0,7.0,S,0.0,M,2.0,2.0,2.0,2.0,6.0,0.0,2011,19.0,1.0
0,1.0,1.0,2009.0,7.0,S,0.0,M,2.0,2.0,2.0,2.0,7.7,6.0,2011,19.0,1.0
0,1.0,1.0,2009.0,7.0,S,0.0,M,2.0,2.0,2.0,2.0,8.0,0.0,2011,19.0,1.0
0,1.0,1.0,2009.0,7.0,S,0.0,M,2.0,2.0,2.0,2.0,4.0,0.0,2011,19.0,0.0
0,1.0,1.0,2009.0,7.0,S,0.0,M,2.0,2.0,2.0,2.0,0.0,26.0,2011,19.0,0.0
0,1.0,1.0,2009.0,7.0,S,0.0,M,2.0,2.0,2.0,2.0,6.2,2.0,2011,19.0,1.0
0,1.0,1.0,2009.0,7.0,S,0.0,M,2.0,2.0,2.0,2.0,1.0,20.0,2011,19.0,0.0
0,1.0,1.0,2009.0,7.0,S,0.0,M,2.0,2.0,2.0,2.0,0.0,10.0,2011,19.0,0.0
0,1.0,1.0,2009.0,7.0,S,0.0,M,2.0,2.0,2.0,2.0,0.0,34.0,2011,19.0,0.0
0,1.0,1.0,2009.0,7.0,S,0.0,M,2.0,2.0,2.0,2.0,0.0,62.0,2011,19.0,0.0
0,1.0,1.0,2009.0,7.0,S,0.0,M,2.0,2.0,2.0,2.0,7.4,2.0,2011,19.0,1.0
0,1.0,1.0,2009.0,7.0,S,0.0,M,2.0,2.0,2.0,2.0,0.0,42.0,2011,19.0,0.0
0,1.0,1.0,2009.0,7.0,S,0.0,M,2.0,2.0,2.0,2.0,1.4,16.0,2011,19.0,0.0
0,1.0,1.0,2009.0,7.0,S,0.0,M,2.0,2.0,2.0,2.0,6.9,6.0,2011,19.0,1.0
0,1.0,1.0,2009.0,7.0,S,0.0,M,2.0,2.0,2.0,2.0,6.2,8.0,2011,19.0,1.0
0,1.0,1.0,2009.0,7.0,S,0.0,M,2.0,2.0,2.0,2.0,6.0,0.0,2011,19.0,1.0
0,1.0,1.0,2009.0,7.0,S,0.0,M,2.0,2.0,2.0,2.0,4.3,0.0,2011,19.0,0.0
0,1.0,1.0,2009.0,7.0,S,0.0,M,2.0,2.0,2.0,2.0,4.3,4.0,2011,19.0,0.0
0,1.0,1.0,2009.0,7.0,S,0.0,M,2.0,2.0,2.0,2.0,0.0,0.0,2011,19.0,0.0
0,1.0,1.0,2009.0,7.0,S,0.0,M,2.0,2.0,2.0,2.0,0.0,0.0,2011,19.0,0.0
0,1.0,1.0,2009.0,7.0,S,0.0,M,2.0,2.0,2.0,2.0,0.0,0.0,2011,19.0,0.0
0,1.0,1.0,2009.0,7.0,S,0.0,M,2.0,2.0,2.0,2.0,0.0,0.0,2011,19.0,0.0
0,1.0,1.0,2009.0,7.0,S,0.0,M,2.0,2.0,2.0,2.0,0.0,0.0,2011,19.0,0.0
0,1.0,1.0,2009.0,7.0,S,0.0,M,2.0,2.0,2.0,2.0,0.0,0.0,2011,19.0,0.0
20,1.0,1.0,2010.0,7.0,S,3.0,M,1.0,1.0,1.0,1.0,8.5,0.0,2011,19.0,1.0
20,1.0,1.0,2010.0,7.0,S,3.0,M,1.0,1.0,1.0,1.0,7.7,0.0,2011,19.0,1.0
20,1.0,1.0,2010.0,7.0,S,3.0,M,1.0,1.0,1.0,1.0,9.0,0.0,2011,19.0,1.0
20,1.0,1.0,2010.0,7.0,S,3.0,M,1.0,1.0,1.0,1.0,8.8,12.0,2011,19.0,1.0
20,1.0,1.0,2010.0,7.0,S,3.0,M,1.0,1.0,1.0,1.0,7.8,6.0,2011,19.0,1.0
20,1.0,1.0,2010.0,7.0,S,3.0,M,1.0,1.0,1.0,1.0,7.0,0.0,2011,19.0,1.0
20,1.0,1.0,2010.0,7.0,S,3.0,M,1.0,1.0,1.0,1.0,6.0,0.0,2011,19.0,1.0
20,1.0,1.0,2010.0,7.0,S,3.0,M,1.0,1.0,1.0,1.0,5.3,14.0,2011,19.0,0.0
20,1.0,1.0,2010.0,7.0,S,3.0,M,1.0,1.0,1.0,1.0,9.3,2.0,2011,19.0,1.0
20,1.0,1.0,2010.0,7.0,S,3.0,M,1.0,1.0,1.0,1.0,6.5,4.0,2011,19.0,1.0
20,1.0,1.0,2010.0,7.0,S,3.0,M,1.0,1.0,1.0,1.0,6.8,0.0,2011,19.0,1.0
20,1.0,1.0,2010.0,7.0,S,3.0,M,1.0,1.0,1.0,1.0,8.0,0.0,2011,19.0,1.0
20,1.0,1.0,2010.0,7.0,S,3.0,M,1.0,1.0,1.0,1.0,6.7,4.0,2011,19.0,1.0
20,1.0,1.0,2010.0,7.0,S,3.0,M,1.0,1.0,1.0,1.0,8.4,5.0,2011,19.0,1.0
20,1.0,1.0,2010.0,7.0,S,3.0,M,1.0,1.0,1.0,1.0,7.5,0.0,2011,19.0,1.0
20,1.0,1.0,2010.0,7.0,S,3.0,M,1.0,1.0,1.0,1.0,7.9,0.0,2011,19.0,1.0
20,1.0,1.0,2010.0,7.0,S,3.0,M,1.0,1.0,1.0,1.0,6.8,0.0,2011,19.0,1.0
20,1.0,1.0,2010.0,7.0,S,3.0,M,1.0,1.0,1.0,1.0,4.8,28.0,2011,19.0,0.0
20,1.0,1.0,2010.0,7.0,S,3.0,M,1.0,1.0,1.0,1.0,6.3,0.0,2011,19.0,1.0
20,1.0,1.0,2010.0,7.0,S,3.0,M,1.0,1.0,1.0,1.0,6.0,0.0,2011,19.0,1.0
20,1.0,1.0,2010.0,7.0,S,3.0,M,1.0,1.0,1.0,1.0,6.3,18.0,2011,19.0,1.0
20,1.0,1.0,2010.0,7.0,S,3.0,M,1.0,1.0,1.0,1.0,6.7,6.0,2011,19.0,1.0
20,1.0,1.0,2010.0,7.0,S,3.0,M,1.0,1.0,1.0,1.0,8.3,0.0,2011,19.0,1.0
20,1.0,1.0,2010.0,7.0,S,3.0,M,1.0,1.0,1.0,1.0,6.6,0.0,2011,19.0,1.0
20,1.0,1.0,2010.0,7.0,S,3.0,M,1.0,1.0,1.0,1.0,9.0,4.0,2011,19.0,1.0
20,1.0,1.0,2010.0,7.0,S,3.0,M,1.0,1.0,1.0,1.0,8.0,10.0,2011,19.0,1.0
20,1.0,1.0,2010.0,7.0,S,3.0,M,1.0,1.0,1.0,1.0,0.5,60.0,2011,19.0,0.0
20,1.0,1.0,2010.0,7.0,S,3.0,M,1.0,1.0,1.0,1.0,0.0,0.0,2011,19.0,0.0
20,1.0,1.0,2010.0,7.0,S,3.0,M,1.0,1.0,1.0,1.0,0.0,30.0,2011,19.0,0.0
20,1.0,1.0,2010.0,7.0,S,3.0,M,1.0,1.0,1.0,1.0,0.0,62.0,2011,19.0,0.0
20,1.0,1.0,2010.0,7.0,S,3.0,M,1.0,1.0,1.0,1.0,0.0,0.0,2011,19.0,0.0
20,1.0,1.0,2010.0,7.0,S,3.0,M,1.0,1.0,1.0,1.0,0.0,84.0,2011,19.0,0.0
20,1.0,1.0,2010.0,7.0,S,3.0,M,1.0,1.0,1.0,1.0,0.0,70.0,2011,19.0,0.0
20,1.0,1.0,2010.0,7.0,S,3.0,M,1.0,1.0,1.0,1.0,0.0,68.0,2011,19.0,0.0
0,1.0,2.0,2009.0,7.0,S,0.0,M,3.0,2.0,3.0,3.0,6.8,0.0,2011,20.0,1.0
0,1.0,2.0,2009.0,7.0,S,0.0,M,3.0,2.0,3.0,3.0,6.5,0.0,2011,20.0,1.0
0,1.0,2.0,2009.0,7.0,S,0.0,M,3.0,2.0,3.0,3.0,5.5,0.0,2011,20.0,0.0
0,1.0,2.0,2009.0,7.0,S,0.0,M,3.0,2.0,3.0,3.0,8.9,0.0,2011,20.0,1.0
0,1.0,2.0,2009.0,7.0,S,0.0,M,3.0,2.0,3.0,3.0,6.0,0.0,2011,20.0,1.0
0,1.0,2.0,2009.0,7.0,S,0.0,M,3.0,2.0,3.0,3.0,5.5,0.0,2011,20.0,0.0
0,1.0,2.0,2009.0,7.0,S,0.0,M,3.0,2.0,3.0,3.0,2.0,0.0,2011,20.0,0.0
0,1.0,2.0,2009.0,7.0,S,0.0,M,3.0,2.0,3.0,3.0,0.0,114.0,2011,20.0,0.0
0,1.0,2.0,2009.0,7.0,S,0.0,M,3.0,2.0,3.0,3.0,3.0,8.0,2011,20.0,0.0
0,1.0,2.0,2009.0,7.0,S,0.0,M,3.0,2.0,3.0,3.0,1.0,44.0,2011,20.0,0.0
0,1.0,2.0,2009.0,7.0,S,0.0,M,3.0,2.0,3.0,3.0,5.3,0.0,2011,20.0,0.0
0,1.0,2.0,2009.0,7.0,S,0.0,M,3.0,2.0,3.0,3.0,1.6,48.0,2011,20.0,0.0
0,1.0,2.0,2009.0,7.0,S,0.0,M,3.0,2.0,3.0,3.0,5.5,0.0,2011,20.0,0.0
0,1.0,2.0,2009.0,7.0,S,0.0,M,3.0,2.0,3.0,3.0,6.9,0.0,2011,20.0,1.0
0,1.0,2.0,2009.0,7.0,S,0.0,M,3.0,2.0,3.0,3.0,5.3,0.0,2011,20.0,0.0
0,1.0,2.0,2009.0,7.0,S,0.0,M,3.0,2.0,3.0,3.0,6.7,0.0,2011,20.0,1.0
0,1.0,2.0,2009.0,7.0,S,0.0,M,3.0,2.0,3.0,3.0,3.9,0.0,2011,20.0,0.0
0,1.0,2.0,2009.0,7.0,S,0.0,M,3.0,2.0,3.0,3.0,6.0,0.0,2011,20.0,1.0
0,1.0,2.0,2009.0,7.0,S,0.0,M,3.0,2.0,3.0,3.0,1.0,18.0,2011,20.0,0.0
0,1.0,2.0,2009.0,7.0,S,0.0,M,3.0,2.0,3.0,3.0,6.5,0.0,2011,20.0,1.0
0,1.0,2.0,2009.0,7.0,S,0.0,M,3.0,2.0,3.0,3.0,5.0,0.0,2011,20.0,0.0
0,1.0,2.0,2009.0,7.0,S,0.0,M,3.0,2.0,3.0,3.0,0.2,32.0,2011,20.0,0.0
0,1.0,2.0,2009.0,7.0,S,0.0,M,3.0,2.0,3.0,3.0,6.0,10.0,2011,20.0,1.0
0,1.0,2.0,2009.0,7.0,S,0.0,M,3.0,2.0,3.0,3.0,6.8,2.0,2011,20.0,1.0
0,1.0,2.0,2009.0,7.0,S,0.0,M,3.0,2.0,3.0,3.0,6.0,4.0,2011,20.0,1.0
0,1.0,2.0,2009.0,7.0,S,0.0,M,3.0,2.0,3.0,3.0,7.5,4.0,2011,20.0,1.0
0,1.0,2.0,2009.0,7.0,S,0.0,M,3.0,2.0,3.0,3.0,5.6,12.0,2011,20.0,0.0
0,1.0,2.0,2009.0,7.0,S,0.0,M,3.0,2.0,3.0,3.0,7.3,0.0,2011,20.0,1.0
0,1.0,2.0,2009.0,7.0,S,0.0,M,3.0,2.0,3.0,3.0,0.7,98.0,2011,20.0,0.0
0,1.0,2.0,2009.0,7.0,S,0.0,M,3.0,2.0,3.0,3.0,9.0,0.0,2011,20.0,1.0
0,1.0,2.0,2009.0,7.0,S,0.0,M,3.0,2.0,3.0,3.0,7.3,6.0,2011,20.0,1.0
0,1.0,2.0,2009.0,7.0,S,0.0,M,3.0,2.0,3.0,3.0,0.0,34.0,2011,20.0,0.0
0,1.0,2.0,2009.0,7.0,S,0.0,M,3.0,2.0,3.0,3.0,0.0,0.0,2011,20.0,0.0
0,1.0,2.0,2009.0,7.0,S,0.0,M,3.0,2.0,3.0,3.0,0.0,0.0,2011,20.0,0.0
0,1.0,2.0,2009.0,7.0,S,0.0,M,3.0,2.0,3.0,3.0,7.0,2.0,2011,20.0,1.0
0,1.0,2.0,2009.0,7.0,S,0.0,M,3.0,2.0,3.0,3.0,5.5,4.0,2011,20.0,0.0
0,1.0,2.0,2009.0,7.0,S,0.0,M,3.0,2.0,3.0,3.0,2.2,24.0,2011,20.0,0.0
0,1.0,2.0,2009.0,7.0,S,0.0,M,3.0,2.0,3.0,3.0,7.0,2.0,2011,20.0,1.0
0,1.0,2.0,2009.0,7.0,S,0.0,M,3.0,2.0,3.0,3.0,1.3,0.0,2011,20.0,0.0
0,1.0,2.0,2009.0,7.0,S,0.0,M,3.0,2.0,3.0,3.0,7.5,2.0,2011,20.0,1.0
0,1.0,2.0,2009.0,7.0,S,0.0,M,3.0,2.0,3.0,3.0,6.0,12.0,2011,20.0,1.0
0,1.0,2.0,2009.0,7.0,S,0.0,M,3.0,2.0,3.0,3.0,8.5,0.0,2011,20.0,1.0
0,1.0,2.0,2009.0,7.0,S,0.0,M,3.0,2.0,3.0,3.0,6.0,2.0,2011,20.0,1.0
0,1.0,2.0,2009.0,7.0,S,0.0,M,3.0,2.0,3.0,3.0,10.0,6.0,2011,20.0,1.0
0,1.0,2.0,2009.0,7.0,S,0.0,M,3.0,2.0,3.0,3.0,6.0,0.0,2011,20.0,1.0
0,1.0,2.0,2009.0,7.0,S,0.0,M,3.0,2.0,3.0,3.0,0.0,4.0,2011,20.0,0.0
0,1.0,2.0,2009.0,7.0,S,0.0,M,3.0,2.0,3.0,3.0,6.0,0.0,2011,20.0,1.0
0,1.0,2.0,2009.0,7.0,S,0.0,M,3.0,2.0,3.0,3.0,0.8,12.0,2011,20.0,0.0
0,1.0,2.0,2009.0,7.0,S,0.0,M,3.0,2.0,3.0,3.0,0.9,32.0,2011,20.0,0.0
0,1.0,2.0,2009.0,7.0,S,0.0,M,3.0,2.0,3.0,3.0,6.7,4.0,2011,20.0,1.0
0,1.0,2.0,2009.0,7.0,S,0.0,M,3.0,2.0,3.0,3.0,6.8,8.0,2011,20.0,1.0
0,1.0,2.0,2009.0,7.0,S,0.0,M,3.0,2.0,3.0,3.0,1.4,36.0,2011,20.0,0.0
0,1.0,2.0,2009.0,7.0,S,0.0,M,3.0,2.0,3.0,3.0,1.7,24.0,2011,20.0,0.0
0,1.0,2.0,2009.0,7.0,S,0.0,M,3.0,2.0,3.0,3.0,5.0,20.0,2011,20.0,0.0
0,1.0,2.0,2009.0,7.0,S,0.0,M,3.0,2.0,3.0,3.0,0.0,22.0,2011,20.0,0.0
0,1.0,2.0,2009.0,7.0,S,0.0,M,3.0,2.0,3.0,3.0,0.0,36.0,2011,20.0,0.0
0,1.0,2.0,2009.0,7.0,S,0.0,M,3.0,2.0,3.0,3.0,0.2,92.0,2011,20.0,0.0
0,1.0,2.0,2009.0,7.0,S,0.0,M,3.0,2.0,3.0,3.0,0.0,42.0,2011,20.0,0.0
0,1.0,2.0,2009.0,7.0,S,0.0,M,3.0,2.0,3.0,3.0,0.0,60.0,2011,20.0,0.0
0,1.0,2.0,2009.0,7.0,S,0.0,M,3.0,2.0,3.0,3.0,0.0,22.0,2011,20.0,0.0
0,1.0,2.0,2009.0,7.0,S,0.0,M,3.0,2.0,3.0,3.0,0.0,38.0,2011,20.0,0.0
0,1.0,2.0,2009.0,7.0,S,0.0,M,3.0,2.0,3.0,3.0,1.9,0.0,2011,20.0,0.0
0,0.0,2.0,2008.0,0.0,S,0.0,M,2.0,3.0,2.0,3.0,2.4,60.0,2011,21.0,0.0
0,0.0,2.0,2008.0,0.0,S,0.0,M,2.0,3.0,2.0,3.0,6.4,4.0,2011,21.0,1.0
